,,,-1.8160002E-3,79.999998212E-3,,,,,-1.8160002E-3,79.999998212E-3,
,,,-1.8140002E-3,0.0,,,,,-1.8140002E-3,79.999998212E-3,
,,,-1.8120002E-3,0.0,,,,,-1.8120002E-3,0.0,
,,,-1.8100002E-3,0.0,,,,,-1.8100002E-3,79.999998212E-3,
,,,-1.8080001E-3,0.0,,,,,-1.8080001E-3,0.0,
,,,-1.8060001E-3,0.0,,,,,-1.8060001E-3,79.999998212E-3,
,,,-1.8040001E-3,0.0,,,,,-1.8040001E-3,79.999998212E-3,
,,,-1.8020001E-3,0.0,,,,,-1.8020001E-3,0.0,
,,,-1.8000002E-3,-79.999998212E-3,,,,,-1.8000002E-3,79.999998212E-3,
,,,-1.7980002E-3,0.0,,,,,-1.7980002E-3,79.999998212E-3,
,,,-1.7960002E-3,0.0,,,,,-1.7960002E-3,0.0,
,,,-1.7940002E-3,0.0,,,,,-1.7940002E-3,79.999998212E-3,
,,,-1.7920001E-3,0.0,,,,,-1.7920001E-3,0.0,
,,,-1.7900001E-3,0.0,,,,,-1.7900001E-3,79.999998212E-3,
,,,-1.7880001E-3,0.0,,,,,-1.7880001E-3,0.0,
,,,-1.7860002E-3,0.0,,,,,-1.7860002E-3,79.999998212E-3,
,,,-1.7840002E-3,-79.999998212E-3,,,,,-1.7840002E-3,0.0,
,,,-1.7820002E-3,0.0,,,,,-1.7820002E-3,0.0,
,,,-1.7800002E-3,0.0,,,,,-1.7800002E-3,79.999998212E-3,
,,,-1.7780002E-3,0.0,,,,,-1.7780002E-3,0.0,
,,,-1.7760001E-3,0.0,,,,,-1.7760001E-3,79.999998212E-3,
,,,-1.7740001E-3,0.0,,,,,-1.7740001E-3,79.999998212E-3,
,,,-1.7720001E-3,79.999998212E-3,,,,,-1.7720001E-3,79.999998212E-3,
,,,-1.7700002E-3,0.0,,,,,-1.7700002E-3,0.0,
,,,-1.7680002E-3,0.0,,,,,-1.7680002E-3,79.999998212E-3,
,,,-1.7660002E-3,79.999998212E-3,,,,,-1.7660002E-3,79.999998212E-3,
,,,-1.7640002E-3,0.0,,,,,-1.7640002E-3,79.999998212E-3,
,,,-1.7620001E-3,0.0,,,,,-1.7620001E-3,0.0,
,,,-1.7600001E-3,0.0,,,,,-1.7600001E-3,79.999998212E-3,
,,,-1.7580001E-3,0.0,,,,,-1.7580001E-3,0.0,
,,,-1.7560002E-3,0.0,,,,,-1.7560002E-3,79.999998212E-3,
,,,-1.7540002E-3,0.0,,,,,-1.7540002E-3,79.999998212E-3,
,,,-1.7520002E-3,0.0,,,,,-1.7520002E-3,79.999998212E-3,
,,,-1.7500002E-3,0.0,,,,,-1.7500002E-3,0.0,
,,,-1.7480002E-3,0.0,,,,,-1.7480002E-3,79.999998212E-3,
,,,-1.7460001E-3,0.0,,,,,-1.7460001E-3,0.0,
,,,-1.7440001E-3,79.999998212E-3,,,,,-1.7440001E-3,0.0,
,,,-1.7420001E-3,79.999998212E-3,,,,,-1.7420001E-3,79.999998212E-3,
,,,-1.7400002E-3,0.0,,,,,-1.7400002E-3,0.0,
,,,-1.7380002E-3,0.0,,,,,-1.7380002E-3,79.999998212E-3,
,,,-1.7360002E-3,0.0,,,,,-1.7360002E-3,0.0,
,,,-1.7340002E-3,79.999998212E-3,,,,,-1.7340002E-3,79.999998212E-3,
,,,-1.7320001E-3,0.0,,,,,-1.7320001E-3,79.999998212E-3,
,,,-1.7300001E-3,0.0,,,,,-1.7300001E-3,0.0,
,,,-1.7280001E-3,0.0,,,,,-1.7280001E-3,0.0,
,,,-1.7260001E-3,0.0,,,,,-1.7260001E-3,79.999998212E-3,
,,,-1.7240002E-3,0.0,,,,,-1.7240002E-3,0.0,
,,,-1.7220002E-3,0.0,,,,,-1.7220002E-3,79.999998212E-3,
,,,-1.7200002E-3,-79.999998212E-3,,,,,-1.7200002E-3,79.999998212E-3,
,,,-1.7180002E-3,0.0,,,,,-1.7180002E-3,0.0,
,,,-1.7160001E-3,79.999998212E-3,,,,,-1.7160001E-3,79.999998212E-3,
,,,-1.7140001E-3,0.0,,,,,-1.7140001E-3,79.999998212E-3,
,,,-1.7120001E-3,0.0,,,,,-1.7120001E-3,79.999998212E-3,
,,,-1.7100002E-3,0.0,,,,,-1.7100002E-3,79.999998212E-3,
,,,-1.7080002E-3,79.999998212E-3,,,,,-1.7080002E-3,79.999998212E-3,
,,,-1.7060002E-3,0.0,,,,,-1.7060002E-3,79.999998212E-3,
,,,-1.7040002E-3,0.0,,,,,-1.7040002E-3,79.999998212E-3,
,,,-1.7020002E-3,0.0,,,,,-1.7020002E-3,79.999998212E-3,
,,,-1.7000001E-3,0.0,,,,,-1.7000001E-3,0.0,
,,,-1.6980001E-3,0.0,,,,,-1.6980001E-3,79.999998212E-3,
,,,-1.6960001E-3,0.0,,,,,-1.6960001E-3,79.999998212E-3,
,,,-1.6940002E-3,0.0,,,,,-1.6940002E-3,0.0,
